444;PHX;DAL;97;91;December 18, 2017
445;UTA;HOU;99;120;December 18, 2017
446;BOS;IND;112;111;December 18, 2017
447;GSW;LAL;116;114;December 18, 2017
448;POR;MIN;107;108;December 18, 2017
449;DEN;OKC;94;95;December 18, 2017
450;LAC;SAS;91;109;December 18, 2017
451;CLE;MIL;116;119; December 19, 2017
452;SAC;PHI;101;95; December 19, 2017
453;NOP;WAS;106;116; December 19, 2017
454;IND;ATL;105;95;December 20, 2017
455;MIA;BOS;90;89;December 20, 2017
456;SAC;BKN;104;99;December 20, 2017
457;ORL;CHI;94;112;December 20, 2017
458;TOR;CHA;129;111;December 20, 2017
459;DET;DAL;93;110;December 20, 2017
460;MIN;DEN;112;104;December 20, 2017
461;MEM;GSW;84;97;December 20, 2017
462;LAL;HOU;122;116;December 20, 2017
463;PHX;LAC;95;108;December 20, 2017
464;UTA;OKC;79;107;December 20, 2017
465;SAS;POR;93;91;December 20, 2017
466;CHI;CLE;112;115;December 21, 2017
467;BOS;NYK;93;102;December 21, 2017
468;TOR;PHI;114;109;December 21, 2017
469;MEM;PHX;95;97;December 21, 2017
470;SAS;UTA;89;100;December 21, 2017
471;WAS;BKN;84;119;December 22, 2017
472;NYK;DET;101;104;December 22, 2017
473;LAL;GSW;106;113;December 22, 2017
474;LAC;HOU;128;118;December 22, 2017
475;DAL;MIA;101;113;December 22, 2017
476;CHA;MIL;104;109;December 22, 2017
477;ATL;OKC;117;120;December 22, 2017
478;NOP;ORL;111;97;December 22, 2017
479;DEN;POR;102;85;December 22, 2017
480;DAL;ATL;107;112;December 23, 2017
481;CHI;BOS;92;117;December 23, 2017
482;MIL;CHA;106;111;December 23, 2017
483;DEN;GSW;96;81;December 23, 2017
484;BKN;IND;119;123;December 23, 2017
485;POR;LAL;95;92;December 23, 2017
486;LAC;MEM;112;115;December 23, 2017
487;NOP;MIA;109;94;December 23, 2017
488;MIN;PHX;115;106;December 23, 2017
489;SAS;SAC;108;99;December 23, 2017
490;PHI;TOR;86;102;December 23, 2017
491;OKC;UTA;103;89;December 23, 2017
492;ORL;WAS;103;130;December 23, 2017
493;WAS;BOS;111;103;December 25, 2017
494;CLE;GSW;92;99;December 25, 2017
495;MIN;LAL;121;104;December 25, 2017
496;PHI;NYK;105;98;December 25, 2017
497;HOU;OKC;107;112;December 25, 2017
498;TOR;DAL;93;98; December 26, 2017
499;UTA;DEN;83;107; December 26, 2017
500;IND;DET;83;107; December 26, 2017
501;SAC;LAC;95;122; December 26, 2017
502;ORL;MIA;89;107; December 26, 2017
503;CHI;MIL;115;106; December 26, 2017
504;MEM;PHX;97;99; December 26, 2017
505;BKN;SAS;97;109; December 26, 2017
506;WAS;ATL;99;113;December 27, 2017
507;NYK;CHI;87;92;December 27, 2017
508;BOS;CHA;102;91;December 27, 2017
509;UTA;GSW;101;126;December 27, 2017
510;DAL;IND;98;94;December 27, 2017
511;MEM;LAL;109;99;December 27, 2017
512;DEN;MIN;125;128;December 27, 2017
513;BKN;NOP;113;128;December 27, 2017
514;TOR;OKC;107;124;December 27, 2017
515;CLE;SAC;95;109;December 27, 2017
516;HOU;BOS;98;99;December 28, 2017
